simulation steps,20000,40000,60000,80000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000,340000,360000,380000,400000,420000,440000,460000,480000,500000,520000,540000,560000,580000,600000,620000,640000,660000,680000,700000,720000,740000,760000,780000,800000,820000,840000,860000,880000,900000,920000,940000,960000,980000,1000000,1020000,1040000,1060000,1080000,1100000,1120000,1140000,1160000,1180000,1200000,1220000,1240000,1260000,1280000,1300000,1320000,1340000,1360000,1380000,1400000,1420000,1440000,1460000,1480000,1500000,1520000,1540000,1560000,1580000,1600000,1620000,1640000,1660000,1680000,1700000,1720000,1740000,1760000,1780000,1800000,1820000,1840000,1860000,1880000,1900000,1920000,1940000,1960000,1980000,2000000,2020000,2040000,2060000
,16000,32000,48000,64000,80000,96000,112000,128000,144000,160000,176000,192000,208000,224000,240000,256000,272000,288000,304000,320000,336000,352000,368000,384000,400000,416000,432000,448000,464000,480000,496000,512000,528000,544000,560000,576000,592000,608000,624000,640000,656000,672000,688000,704000,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped falls,0.1261160714,0.2607886905,0.748139881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9802827381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
biped falls,0.3470982143,0.2823660714,0.318452381,0.4955357143,0.9285714286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
biped falls,0.1547619048,0.2738095238,0.328125,0.5837053571,0.915922619,0.982514881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
biped falls normal,0.7906746032,0.7276785714,0.535094246,0.3069196429,0.0518353175,0.005828373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065724206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped falls SafeRL,0.1223958333,0.1625744048,0.1640625,0.4873511905,1,1,0.828125,0.8794642857,0.974702381,0.9527529762,0.9401041667,0.9620535714,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
biped falls SafeRL,0.1614583333,0.9352678571,0.7845982143,0.8638392857,0.982514881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9598214286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
biped falls SafeRL,0.1841517857,0.4412202381,0.8084077381,0.9300595238,0.8671875,1,1,0.9973958333,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9665178571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
biped falls SafeRL,0.8439980159,0.4869791667,0.4143105159,0.2395833333,0.0500992064,0,0.0572916667,0.041046627,0.0084325397,0.0157490079,0.0199652778,0.0189732143,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0.9866071429,1,1,1,1,0.9888392857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped forward falls,0.165922619,0.165922619,0.1510416667,0.1640625,0.1882440476,0.1618303571,0.1852678571,0.1599702381,0.150297619,0.1521577381,0.1555059524,0.1610863095,0.1514136905,0.1808035714,0.1529017857,0.1674107143,0.1216517857,0.142485119,0.1569940476,0.1517857143,0.1551339286,0.138764881,0.1264880952,0.1499255952,0.1246279762,0.1674107143,0.1569940476,0.1577380952,0.1908482143,0.2101934524,0.1707589286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
